28  
Consejería de Medio Ambiente Comunidad de Madrid.                               
Princesa,3 planta 9                                                             
28001 Madrid                                                                    
0271
28065012Getafe (nº 1)                                                         16
01Anhídrido Sulfuroso        µg/m3     38Fluorescencia ultravioleta 266200000003
28005002898902050221000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.3V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2800500214080205022100056V00056V00062V00060V00050V00027V00013V00024V00034V00041V*****N00024V00059V00057V00060V00053V00048R00057V00049V00041V00029V00012V00005V00001V
2800600401380205022100007V00008V00006V00006V00006V00006V00006V00006V00007V00005V00006V00006V00006V00006V00006V00007V00006R00008V00007V00009V00008V00011V00010V00006V
2800600407080205022100003V00003V00003V00003V00003V00004V00007V00010V00015V00005V00005V00006V00006V00007V00007V00006V00006R00007V00009V00009V00013V00058V00060V00008V
2800600408080205022100021V00018V00010V00009V00010V00017V00035V00048V00041V00016V00013V00015V00013V00018V00020V00019V00025R00035V00052V00062V00072V00095V00099V00066V
28006004064802050221000.6V000.5V000.6V000.5V000.5V000.5V000.8V001.1V000.9V000.8V000.7V000.8V000.8V000.8V000.8V000.9V000.9R000.9V000.7V000.8V000.8V001.1V000.9V000.7V
2800600410490205022100004V00005V00004V00005V00004V00001V00001V00004V00009V00009V00007V00008V00006V00007V00009V00006V00003R00004V00008V00010V00013V00010V00033V00023V
28006004140602050221*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N
2800600482890205022100187V00061V00023V00022V00023V00028V00029V00028V00107V00179V00101V00179V00322V00184V00250V00105V00333R00022V00023V00022V00303V00227V00237V00271V
28006004818902050221001.5V003.3V004.0V004.2V004.4V004.2V003.3V002.7V004.1V005.4V005.3V004.8V005.1V004.5V004.7V004.9V003.9R004.0V003.5V001.8V002.0V001.6V001.7V002.0V
28006004838902050221003.9V003.5V001.6V001.2V000.4V-00.1V-00.6V-00.6V000.6V001.4V002.0V002.3V002.8V002.8V003.4V003.6V002.6R001.9V000.2V-00.5V-00.9V-02.2V-02.5V-03.1V
2800600486890205022100055V00060V00065V00062V00063V00063V00062V00062V00055V00049V00046V00042V00037V00033V00027V00027V00032R00039V00052V00055V00053V00056V00057V00058V
2800600487890205022100932V00932V00932V00932V00932V00932V00932V00933V00933V00933V00933V00933V00932V00932V00931V00931V00930R00931V00931V00931V00931V00931V00931V00931V
2800600488890205022100004V00004V00004V00004V00004V00004V00004V00021V00223V00376V00505V00453V00519V00331V00508V00308V00111R00023V00004V00004V00004V00004V00004V00004V
28006004898902050221000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
28006004305902050221000.8V000.7V000.7V000.7V000.7V000.7V000.9V001.4V001.3V000.9V000.8V000.8V000.8V000.8V000.8V000.8V000.8R000.9V001.0V001.2V001.1V001.4V001.5V001.0V
28006004205902050221001.1V001.4V000.6V000.6V000.6V000.7V001.3V002.7V002.5V001.1V000.9V000.8V000.8V000.8V001.3V000.7V000.8R001.0V001.6V002.1V002.5V006.6V007.5V003.4V
28006004315902050221000.4V000.4V000.3V000.3V000.3V000.3V000.5V001.7V001.4V000.6V000.4V000.4V000.3V000.4V000.3V000.5V000.5R000.5V000.8V001.1V001.5V003.5V004.5V001.7V
2800600442020205022102.18V02.13V02.70V03.32V03.44V03.44V03.57V03.18V02.66V02.65V02.51V02.17V02.06V01.97V02.04V02.75V03.09R03.30V03.43V03.63V03.88V04.87V04.37V03.91V
2800600444020205022100.16V00.07V00.36V00.77V00.88V00.96V01.02V00.68V00.38V00.48V00.48V00.23V00.19V00.16V00.25V00.61V00.82R00.95V01.06V01.16V01.30V02.19V01.68V01.26V
2805800401380205022100007V00007V00008V00006V00006V00005V00006V00008V00007V00007V00005V00006V00006V00006V00006V00006V00006R00008V00008V00008V00010V00009V00006V00006V
2805800407080205022100001V00001V00001V00001V00001V00006V00022V00035V00020V00015V00014V00013V00008V00006V00010V00008V00006R00006V00010V00011V00013V00010V00003V00002V
2805800408080205022100012V00010V00010V00012V00016V00030V00051V00063V00050V00036V00024V00025V00023V00021V00028V00032V00032R00038V00060V00062V00068V00064V00038V00025V
28058004064802050221000.1V000.1V000.1V000.2V000.2V000.3V000.5V000.5V000.4V000.3V000.2V000.3V000.2V000.2V000.3V000.2V000.3R000.3V000.4V000.4V000.4V000.4V000.3V000.2V
2805800410490205022100008V00006V00003V00006V00010V00009V00010V00016V00022V00021V00019V00013V00012V00010V00009V00011V00019R00010V00016V00020V00017V00021V00019V00020V
2805800414060205022100063V00063V00066V00062V00060V00048V00031V00023V00034V00051V00066R00069V00069V00072V00067V00062V00065R00054V00026V00023V00017V00021V00039V00052V
2805800482890205022100275V00264V00247V00114V00080V00051V00046V00057V00051V00057V00058V00051V00046V00164V00090V00192V00241R00108V00186V00316V00304V00259V00259V00259V
28058004818902050221002.9V002.5V003.8V003.2V002.9V002.5V003.2V003.4V004.3V004.0V004.7V004.5V004.3V003.1V003.6V002.7V002.1R003.5V003.3V002.6V002.3V001.7V001.8V001.9V
28058004838902050221005.3V004.9V004.9V004.1V002.7V002.4V002.6V002.4V002.5V003.4V005.0V005.9V005.3V005.0V005.4V005.8V006.2R004.9V003.0V002.0V001.7V001.6V000.4V000.3V
2805800486890205022100055V00057V00057V00063V00073V00075V00063V00063V00061V00049V00031V00029V00028V00029V00030V00027V00024R00033V00043V00051V00054V00050V00055V00055V
2805800487890205022100912V00912V00911V00911V00912V00912V00912V00912V00913V00913V00913V00912V00912V00911V00911V00910V00910R00911V00911V00911V00911V00911V00911V00911V
2805800488890205022100004V00004V00004V00004V00004V00004V00004V00018V00099V00194V00461V00504V00245V00213V00244V00223V00157R00048V00004V00004V00004V00004V00004V00004V
28058004898902050221000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2805800414080205022100064V00064V00066V00063V00061V00049V00032V00025V00035V00050V00065R00068V00069V00072V00067V00063V*****N00052V00026V00022V00016V00020V00038V00051V
28058004305902050221000.2V000.2V000.2V000.2V000.3V000.4V000.7V001.0V001.1V000.7V000.5V000.4V000.4V000.6V000.5V000.5V*****N000.6V000.6V000.9V001.0V000.9V000.6V001.4V
28058004205902050221008.7V004.6V006.3V000.4V000.4V000.9V001.3V001.9V002.7V001.6V000.9V000.8V000.8V001.1V000.9V001.0V*****N002.4V002.7V003.7V004.0V004.1V003.0V006.2V
28058004315902050221041.7V019.0V029.0V001.4V000.3V000.4V000.7V001.1V001.5V000.8V000.3V000.3V000.3V000.4V000.3V000.3V001.1R001.1V001.3V001.6V002.1V002.0V002.0V003.9V
2805800442020205022109.68V09.85V09.47V09.47V09.55V09.68V09.81V09.78V09.64V09.39V08.96V08.58V08.68V09.11V08.98V10.75V08.99R09.30V09.69V09.92V10.05V10.06V10.13V10.09V
2805800444020205022100.62V00.71V00.76V00.73V00.69V00.68V00.89V01.01V01.07V01.10V01.24V01.64V01.57V00.97V01.15V02.45V01.38R00.90V00.67V00.64V00.68V00.69V00.47V00.47V
2809200501380205022100004V00004V00003V00009V00012V00007V00008V00003V00006V00007V00004V00003V00007V00003V00001V00001V00003V00002V00004V00002V00004V00005V00003V00003V
2809200507080205022100005V00002V00001V00002V00008V00013V00021V00027V00041V00012V00007V00006V00008V00007V00005V00007V00009V00010V00014V00026V00035V00036V00016V00015V
2809200508080205022100009V00005V00004V00006V00014V00021V00034V00032V00039V00015V00009V00009V00010V00009V00008V00011V00014V00018V00025V00035V00040V00040V00028V00024V
28092005064802050221000.5V000.3V000.4V000.4V000.5V000.5V000.6V000.6V000.6V000.4V000.4V000.4V000.4V000.4V000.4V000.5V000.4V000.5V000.6V000.7V000.7V000.8V000.6V000.5V
2809200510490205022100008V00018V00010V00011V00013V00025V00021V00011V00027V00036V00016V00009V00008V00016V00014V00012V00011V00011V00008V00010V00017V00025V00034V00014V
2809200514060205022100052V00057V00060V00057V00052V00034V00019V00021V00016V00053V00066V00068V00066V00071V00069V00067V00062V00052V00036V00020V00011V00007V00018R00027V
2809200582890205022100253V00260V00297V00321V00322V00327V00293V00311V00332V00325V00310V00311V00330V00326V00297V00258V00288V00294V00303V00299V00298V00253V00193V00204V
28092005818902050221003.3V002.8V005.1V005.9V003.6V002.5V002.1V002.7V002.9V004.3V004.6V004.4V004.9V005.1V004.5V003.3V004.1V004.9V004.0V002.8V002.0V001.5V001.4V001.8V
28092005838902050221005.1V005.0V004.6V003.9V003.1V002.0V001.8V001.2V002.0V003.6V004.2V004.5V004.8V004.7V004.6V004.6V004.8V003.9V002.0V001.0V000.4V-00.1V-00.5V-00.9V
2809200586890205022100050V00050V00052V00055V00057V00072V00072V00074V00068V00049V00033V00028V00027V00030V00030V00026V00028V00035V00046V00052V00054V00055V00054V00054V
2809200587890205022100915V00915V00914V00914V00914V00914V00914V00915V00915V00915V00915V00915V00914V00914V00913V00913V00913V00913V00913V00914V00913V00913V00913V00913V
2809200588890205022100004V00004V00004V00004V00004V00004V00004V00011V00151V00401V00424V00266V00359V00396V00246V00114V00158V00048V00004V00004V00004V00004V00004V00004V
28092005898902050221000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2814800401380205022100006V00006V00004V00005V00004V00006V00006V00007V00008V00005V00005V00006V00005V00005V00004V00004V00005V00005V00006V00006V00007V00008V00007V00008V
2814800407080205022100003V00003V00003V00003V00003V00004V00010V00018V00013V00006V00005V00004V00005V00005V00005V00005V00005V00005V00005V00004V00007V00010V00017V00008V
2814800408080205022100001V00001V00001V00001V00001V00004V00036V00036V00016V00001V00001V00001V00001V00001V00001V00001V00001V00006V00013V00020V00038V00046V00049V00039V
28148004064802050221000.2V000.1V000.1V000.1V000.1V000.2V000.3V000.4V000.3V000.2V000.2V000.2V000.2V000.2V000.2V000.2V000.2V000.2V000.3V000.3V000.3V000.4V000.5V000.4V
2814800410490205022100011V00012V00013V00011V00008V00005V00008V00023V00025V00023V00015V00015V00018V00019V00012V00015V00021V00015V00020V00019V00016V00025V00023V00029V
2814800414060205022100073V00074V00079V00083V00081V00064V00025V00029V00050V00083R00086V00089V00088V00089V00091V00091V00085V00072V00062V00053V00034V00021V00015V00020V
2814800482890205022100079V00056V00017V00015V00018V00020V00106V00124V00203V00256V00179V00178V00333V00176V00102V00253V00335V00252V00088V00015V00084V00079V00152V00200V
28148004818902050221002.7V004.3V004.3V004.8V005.6V006.1V002.3V001.9V002.4V005.3V004.9V004.2V004.8V006.1V005.6V005.4V005.8V006.1V006.5V003.5V002.0V002.1V001.4V001.3V
28148004838902050221005.4V004.8V004.0V003.2V002.1V001.6V000.8V000.5V003.4V002.9V003.5V003.9V004.6V004.4V004.4V005.1V004.7V003.7V002.0V001.0V000.5V-00.4V-01.6V-02.2V
2814800486890205022100052V00055V00058V00059V00060V00061V00068V00067V00054V00043V00039V00036V00034V00033V00031V00028V00030V00034V00045V00052V00053V00057V00061V00063V
2814800487890205022100922V00922V00922V00922V00922V00922V00922V00923V00923V00923V00923V00923V00922V00921V00921V00920V00921V00921V00921V00921V00921V00921V00921V00921V
2814800488890205022100004V00004V00004V00004V00004V00004V00004V00019V00141V00342V00448V00365V00428V00349V00326V00368V00200V00036V00004V00004V00004V00004V00004V00004V
28148004898902050221000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
28148004305902050221000.2V000.2V000.1V000.1V000.1V000.2V000.3V000.3V000.3V000.2V000.2V000.2V000.2V000.2V000.2V000.2V000.2V000.2V000.2V000.2V000.3V000.4V001.1V000.4V
28148004205902050221000.1V000.1V000.1V000.2V000.1V000.1V000.2V000.3V000.3V000.2V000.1V000.1V000.1V000.1V000.1V000.1V000.1V000.1V000.2V000.5V000.5V000.6V000.6V000.6V
28148004315902050221000.6V000.5V000.5V000.5V000.5V000.5V001.1V001.7V001.5V000.9V000.5V000.5V000.6V000.5V000.6V000.6V000.5V000.7V001.0V001.2V001.6V002.2V002.1V002.4V
2814800442020205022106.16V06.11V05.98V05.92V05.90V05.94V06.16V06.24V06.14R05.93R05.90V05.81V05.78V05.78V05.79V05.70V05.71V05.75V05.87V05.86V06.05V06.26V07.00V07.47V
2814800444020205022100.70V00.68V00.65V00.63V00.63V00.67V00.82V00.85V00.82R00.67R00.66V00.64V00.65V00.66V00.66V00.65V00.66V00.68V00.75V00.77V00.94V01.04V01.15V01.25V
2800700101380205022100005V00006V00006V00005V00004V00007V00007V00011V00011V00007V00005V00004V00005V00005V00005V00006V00006V00005V00005V00005V00008V00006V00004R00004V
2800700107080205022100002V00002V00002V00004V00009V00056V00054V00120V00098V00031V00023V00021V00031V00026V00024V00043V00042V00029V00028V00034V00063V00035V00012R00003V
2800700108080205022100013V00012V00009V00015V00024V00069V00075V00105V00091V00050V00042V00041V00056V00057V00056V00073V00070V00072V00073V00076V00089V00077V00058R00036V
28007001064802050221000.3V000.3V000.3V000.3V000.5V001.0V000.9V002.0V001.4V000.7V000.6V000.6V000.7V000.6V000.6V000.8V000.9V000.6V000.6V000.7V001.0V000.7V000.5R000.3V
2800700110490205022100022V00021V00017V00021V00013V00013V00026V00021V00039V00029V00017V00018V00016V00017V00019V00019V00023V00028V00029V00033V00028V00036V00024V00017V
2800700114060205022100076R00076V00078V00069V00067V00030V00015V00013V00027V00053V00072V00066V00045V00046V00048V00040V00043V00029V00023V00019V00014V00018V00030R00054V
2800700182890205022100316V00315V00316V00253V00230V00305V00316V00314V00298V00304V00309V00304V00309V00310V00315V00310V00310V00317V00317V00317V00315V00305V00292V00253V
28007001818902050221003.2V003.8V004.7V002.3V001.9V001.9V002.0V002.2V002.5V003.3V003.6V003.4V003.3V003.8V003.6V003.1V003.4V004.1V004.2V003.0V002.2V001.8V001.7V001.8V
28007001838902050221005.3V005.1V004.3V002.9V002.3V001.9V001.8V001.3V002.1V003.8V004.7V006.0V005.1V004.7V004.3V004.7V005.7V003.9V001.9V000.9V000.8V001.1V000.6V000.6V
2800700186890205022100052V00054V00057V00068V00072V00073V00074V00075V00066V00047V00030V00028V00029V00031V00031V00027V00025V00036V00047V00056V00056V00051V00052V00051V
2800700187890205022100910V00909V00909V00909V00909V00909V00909V00910V00910V00910V00910V00910V00909V00909V00908V00908V00907V00908V00908V00908V00908V00908V00908V00908V
2800700188890205022100004V00004V00004V00004V00004V00004V00004V00005V00120V00215V00398V00513V00252V00240V00164V00150V00182V00010V00004V00004V00004V00004V00004V00004V
28007001898902050221000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2804900101380205022100007V00006V00005V00005V00005V00007V00008V00008V00008V00006V00006V00007V00007V00007V00005V00005V00005V00006V00005V00006V00008V00010V00010V00010V
2804900107080205022100002V00001V00001V00001V00001V00002V00019V00031V00012V00004V00002V00003V00002V00001V00001V00002V00002V00001V00001V00001V00018V00053V00022V00033V
2804900108080205022100035V00019V00012V00011V00011V00026V00062V00061V00046V00030V00024V00023V00019V00021V00018V00024V00028V00038V00041V00047V00074V00084V00074V00078V
28049001064802050221000.3V000.3V000.2V000.3V000.2V000.3V000.4V000.6V000.6V000.5V000.3V000.2V000.2V000.2V000.2V000.3V000.5V000.4V000.4V000.3V000.5V000.8V000.4V000.4V
2804900110490205022100015V00018V00010V00009V00012V00014V00015V00021V00040V00025V00016V00014V00015V00015V00014V00014V00015V00016V00015V00017V00017V00020V00034V00028V
2804900114060205022100037V00054V00065V00067V00067V00049V00018V00022V00033V00054V00061V00062V00067V00066V00071V00068V00063V00051V00046V00038V00019V00008V00013V00008V
2804900182890205022100138V00108V00034V00022V00101V00173V00042V00107V00039V00022V00029V00101V00178V00336V00257V00179V00336V00255V00101V00021V00149V00191V00192V00204V
28049001818902050221001.8V003.0V003.6V004.0V003.3V003.3V002.1V002.8V002.8V005.0V004.7V004.5V004.8V004.5V004.5V003.8V004.1V003.6V004.2V003.4V002.1V002.0V002.3V002.6V
28049001838902050221005.7V005.6V003.8V003.3V002.4V001.6V001.3V001.2V002.4V003.2V004.3V005.1V005.2V005.2V005.6V005.7V005.1V004.0V002.4V001.3V001.2V000.5V-00.2V-00.6V
2804900186890205022100050V00053V00059V00058V00061V00063V00067V00067V00060V00044V00036V00032V00031V00031V00028V00026V00027V00034V00043V00053V00050V00053V00057V00058V
2804900187890205022100918V00918V00918V00918V00918V00918V00918V00919V00919V00919V00919V00919V00918V00918V00917V00917V00916V00917V00917V00917V00917V00917V00917V00917V
2804900188890205022100004V00004V00004V00004V00004V00004V00004V00033V00198V00351V00468V00552V00534V00353V00445V00307V00134V00011V00004V00004V00004V00004V00004V00004V
28049001898902050221000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2805100107080205022100002V00002V00002V00002V00002V00002V00002V00002R00002R00002V00002V00002V00002V*****N00002V00002V00002V00002V00003V00003V00003V00002V00003V00002V
2805100108080205022100005V00004V00004V00005V00007V00006V00009V00010R00009R00006V00005V00004V00005V*****N00005V00006V00005V00008V00013V00017V00021V00016V00015V00008V
28051001104902050221003.3V009.0V009.8V005.5V017.5V005.8V017.3V003.3V009.3V015.5V004.8V017.8V013.0V014.3V057.0V018.0V014.8V012.0V015.3V011.3V026.8V027.0V018.3V021.5V
2805100114060205022100062V00062V00068V00063V00057V00064V00065V00062R00062R00074V00080V00079V00079V*****N00079V00080V00080V00074V00064V00055V00049V00050V00047V00054V
28051001828902050221292.8V315.5V335.8V314.5V185.0V251.8V325.3V331.0V325.5V256.3V335.5V336.5V336.0V330.5V335.0V329.0V330.0V320.3V242.0V257.5V304.0V248.3V290.3V272.8V
28051001818902050221002.4V004.0V005.0V002.5V001.8V004.4V004.1V003.2V004.0V005.5V005.9V005.6V006.0V005.3V006.0V005.5V004.2V004.4V002.6V001.7V002.6V001.3V003.1V003.8V
28051001838902050221004.8V004.3V004.2V003.3V003.1V002.8V002.4V001.7V001.9V003.2V003.2V003.9V004.4V004.5V004.5V004.5V004.4V003.0V001.8V001.0V000.2V-00.5V-00.9V-00.6V
28051001868902050221055.5V057.8V055.3V059.8V060.2V059.5V059.4V066.0V067.9V043.0V036.5V036.2V034.7V032.3V033.4V034.1V035.9V044.5V050.7V051.3V055.0V059.5V060.8V057.6V
2805100187890205022100915V00915V00915V00915V00915V00915V00915V00915V00915V00916V00916V00915V00915V00914V00913V00913V00913V00913V00913V00913V00913V00914V00913V00913V
2805100188890205022100004V00004V00004V00004V00004V00004V00004V00014V00210V00488V00373V00584V00664V00537V00454V00348V00191V00023V00004V00004V00004V00004V00004V00004V
28051001898902050221000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2804500207080205022100002V00002V00002V00002V00002V00003R00006V*****N*****N00026R00028V00032V00030V00032V00034V00033V00029V00028V00030V00040V00032V00038V00027V00028V
2804500208080205022100004V00003V00002V00003V00003V00006R00008V*****N*****N00022R00022V00020V00015V00015V00015V00015V00016V00016V00023V00036V00035V00056V00028V00019V
28045002064802050221000.2V000.3V000.2V000.3V000.2V000.4R000.4V*****N*****N000.6R000.6V000.6V000.6V000.8V000.6V000.7V000.7V000.6V000.7V000.9V000.8V001.0V000.7V000.7V
2804500210490205022100007V00007V00009V00007V00004V00002V00001V00002V00005V00006V00009V00010V00014V00011V00011V00010V00011V00014V00014V00014V00014V00015V00017V00016V
2804500214060205022100085V00084V00091V00094V00088V00077R00071V*****N*****N00086R00090V00093V00093V00093V00094V00093V00090V00082V00076V00060V00063V00036V00063V00071V
2804500282890205022100058V00042V00040V00040V00069V00147V00034V00040V00034V00101V00029V00040V00080V00029V00040V00046V00084V00208V00083V00145V00199V00083V00203V00173V
28045002818902050221001.7V002.3V002.6V002.7V002.2V001.1V001.8V001.5V002.4V001.9V002.9V003.0V002.4V002.3V002.7V002.5V002.6V002.3V002.4V001.3V000.9V001.1V001.0V001.0V
28045002838902050221003.9V002.8V001.2V000.9V-00.2V-00.4V-01.1V-00.7V000.4V001.1V001.8V002.3V001.9V002.6V003.0V003.1V002.6V001.3V000.1V-00.3V-00.4V-00.9V-01.5V-00.9V
2804500286890205022100058V00066V00072V00068V00075V00074V00082V00075V00059V00051V00044V00039V00039V00036V00036V00037V00037V00043V00051V00053V00050V00053V00055V00052V
2804500287890205022100886V00885V00885V00885V00885V00886V00886V00886V00887V00887V00886V00886V00886V00885V00885V00884V00884V00885V00884V00884V00884V00885V00885V00884V
