28  
Consejería de Medio Ambiente Comunidad de Madrid.                               
Princesa,3 planta 9                                                             
28001 Madrid                                                                    
0271
28065012Getafe (nº 1)                                                         16
01Anhídrido Sulfuroso        µg/m3     38Fluorescencia ultravioleta 266200000003
28148004898902050330000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
28148004305902050330000.1V000.1V000.1V000.1V000.1V000.3V000.5V000.3V000.3V000.2V000.1V000.1V000.1V000.1V000.1V000.1V000.1V000.1V000.1V000.3V000.3V000.3V000.3V000.2V
28148004205902050330000.2V000.2V000.1V000.1V000.2V000.9V002.6V002.7V001.9V000.5V000.2V000.1V000.1V000.2V000.1V000.2V000.1V000.1V000.3V000.5V000.6V001.1V000.9V000.8V
28148004315902050330000.6V000.6V000.3V000.4V000.8V003.2V007.8V007.9V007.5V001.7V000.5V000.5V000.4V000.4V000.5V000.8V000.4V000.8V000.9V002.4V002.7V005.1V003.9V002.9V
2814800442020205033006.04V05.91V05.82V05.90V06.16V07.75V07.41V06.84V06.24V05.75V05.68V05.68V05.68V05.74V05.80V05.68V05.84V05.97V06.06V06.38V05.97V06.89V07.06V06.87V
2814800444020205033000.65V00.64V00.62V00.70V00.74V01.49V01.44V01.33V00.95V00.71V00.62V00.63V00.63V00.58V00.59V00.60V00.59V00.60V00.72V00.82V01.07V00.98V00.81V00.79V
2800700101380205033000002V00002V00002V00002V00002V00006V00004V00003V00003V*****N00003V00003V00002R00003V00002V00003V00003V00003V00003V00005V00004V00003V00002V00002V
2800700107080205033000002V00002V00002V00003V00023V00087V00039V00051V00034V*****N00021V00016V00018R00024V00023V00025V00031V00023V00043V00055V00046V00022V00006V00003V
2800700108080205033000017V00017V00020V00035V00075V00105V00085V00088V00068V*****N00057V00048V00050R00054V00059V00066V00074V00071V00089V00092V00084V00073V00049V00036V
28007001064802050330000.2V000.2V000.2V000.3V000.6V001.3V000.8V000.8V000.6V*****N000.5V000.4V000.4R000.4V000.5V000.6V000.6V000.5V000.7V000.8V000.6V000.6V000.3V000.3V
2800700110490205033000016V00015V00017V00015V00015V00018V00035V00023V00030V00026V00029V00025V00019V00019V00021V00018V00029V00024V00023V00024V00027V00021V00022V00014V
2800700114060205033000087V00085V00077V00059V00023V00009V00024V00021V00039V00046R00052V00060V00053R00053V00047V00038V00031V00030V00015V00012V00015V00018V00036V00044V
2800700182890205033000317V00316V00317V00317V00321V00317V00277V00316V00316V00316V00315V00316V00316V00316V00316V00316V00316V00316V00317V00316V00316V00304V00293V00288V
28007001818902050330003.1V003.4V003.1V002.6V002.1V001.5V001.9V002.7V003.5V004.5V004.7V004.6V004.3V004.7V004.2V003.4V003.5V003.5V002.6V001.9V002.3V001.6V001.7V001.6V
28007001838902050330010.9V010.2V009.8V009.5V009.1V008.9V009.5V011.0V013.0V014.4V015.6V016.9V017.6V018.0V018.1V017.6V017.6V017.0V016.3V015.7V015.2V014.6V014.1V013.8V
2800700186890205033000060V00063V00064V00064V00066V00065V00062V00060V00055V00052V00048V00044V00045V00046V00045V00047V00049V00052V00055V00056V00059V00061V00064V00066V
2800700187890205033000922V00922V00923V00922V00922V00922V00923V00923V00923V00923V00923V00923V00923V00922V00922V00922V00922V00922V00922V00923V00923V00923V00923V00923V
2800700188890205033000004V00004V00004V00004V00004V00004V00004V00059V00306V00447V00560V00660V00636V00621V00352V00171V00127V00044V00004V00004V00004V00004V00004V00004V
28007001898902050330000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2804900101380205033000002V00002V00002V00002V00003V00003V00006V00012V00011V00005V00004V00003V00003V00003V00003V00003V00004V00003V00003V00005R00008V00011V00010V00010V
2804900107080205033000001V00002V00001V00001V00002V00004V00029V00112V00110V00023V00007V00005V00003V00003V00003V00002V00004V00003V00004V00040R00106V00167V00149V00127V
2804900108080205033000021V00019V00019V00019V00026V00058V00081V00087V00086V00061V00042V00037V00031V00031V00033V00035V00042V00036V00051V00084R00088V00093V00081V00073V
28049001064802050330000.1V000.1V000.1V000.1V000.1V000.2V000.3V000.6V000.6V000.2V000.2V000.3V000.1V000.1V000.1V000.1V000.1V000.1V000.1V000.4V000.6V001.3V001.3V000.8V
2804900110490205033000013V00019V00015V00015V00015V00016V00022V00033V00047V00048V00013V00014V00014V00012V00012V00015V00015V00019V00014V00014V00035V00044V00061V00073V
2804900114060205033000076V00075V00076V00075V00064V00032V00015V00015V00018V00043V00060V00069V00068V00066V00064V00061V00052V00058V00036V00009R00008V00009V00009V00007V
2804900182890205033000304V00314V00315V00299V00304V00293V00276V00146V00163V00174V00320V00299V00305V00315V00321V00311V00315V00316V00317V00227V00142V00170V00250V00185V
28049001818902050330004.4V005.5V005.6V004.0V003.9V004.0V002.3V002.8V002.0V002.5V002.8V003.6V004.4V003.9V003.6V004.0V003.7V003.2V002.5V001.5V001.4V000.9V000.9V001.4V
28049001838902050330012.2V011.7V011.4V010.9V010.6V010.4V010.7V011.1V012.9V015.1V017.0V018.0V018.1V017.8V018.2V018.3V018.1V018.1V017.3V015.8V015.0V014.3V013.4V012.4V
2804900186890205033000056V00058V00058V00059V00058V00059V00058V00058V00053V00046V00041V00040V00042V00044V00043V00043V00045V00045V00049V00056V00058V00062V00066V00069V
2804900187890205033000931V00931V00931V00931V00931V00931V00931V00931V00932V00932V00932V00931V00931V00931V00931V00930V00931V00931V00931V00931V00932V00931V00932V00932V
2804900188890205033000004V00004V00004V00004V00004V00004V00029V00173V00341V00506V00606V00663V00396V00110V00167V00094V00084V00071V00006V00004V00004V00004V00004V00004V
28049001898902050330000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2805100107080205033000002V00002V00002V00002V00002V00002V00003V00004V00002V00002V00003V00002V00002V00002V00003V00002V00002V00002V00003V*****N00002R00002V00002V00002V
2805100108080205033000004V00005V00004V00004V00005V00011V00023V00024V00008V00006V00007V00009V00007V00010V00010V00011V00009V00011V00016V*****N00011R00008V00006V00005V
28051001104902050330011.0V017.0V016.0V013.0V012.0V011.0V010.0V018.0V023.0V013.0V013.0V023.0V022.0V025.0V017.0V022.0V028.0V017.3V017.0V014.0V012.0V012.0V010.0V008.0V
2805100114060205033000083V00081V00079V00078V00078V00070V00056V00055V00070V00073V00069V00067V00072V00069V00066V00067V00068V00064V00057V*****N*****N00060V00062V00063V
28051001828902050330293.5V294.5V320.3V330.8V336.8V242.0V021.0V157.5V265.8V281.0V282.3V292.3V296.8V294.3V292.8V299.8V315.0V297.5V314.5V316.0V294.8V299.0V312.5V309.8V
28051001818902050330004.3V004.2V004.7V004.4V003.6V002.5V001.5V002.4V003.5V003.0V003.9V003.6V004.0V004.5V004.4V003.8V002.7V002.8R002.4V002.5V003.8V005.0V005.0V002.9V
28051001838902050330011.1V010.9V010.9V010.3V009.9V009.5V010.1V011.8V013.9V015.1V015.7V016.2V017.1V018.1V017.4V017.4V017.5V017.4V016.3V015.3V015.3V015.0V014.6V014.1V
28051001868902050330060.5V061.1V061.9V063.5V063.9V064.9V063.0V059.5V054.3V052.0V052.3V051.7V047.9V046.3V049.1V050.1V051.3V054.0V058.3V060.6V061.5V063.0V064.4V066.3V
2805100187890205033000929V00929V00929V00928V00928V00929V00929V00929V00929V00929V00929V00929V00929V00928V00928V00928V00928V00928V00928V00929V00929V00929V00929V00929V
2805100188890205033000004V00004V00004V00004V00004V00004V00044V00226V00407V00538V00453V00348V00275V00571V00159V00098V00049V00037V00005V00004V00004V00004V00004V00004V
28051001898902050330000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2804500207080205033000002V00003V00002V00003V00003V00009V00009V00007V00003V00005V00007V00003V00004V00008V00009V00003V00002V00004R00021V00023V00008V00012V00002V00003V
2804500208080205033000003V00005V00003V00004V00010V00021V00033V00020V00005V00007V00009V00007V00008V00020V00026V00008V00007V00008R00049V00068V00033V00044V00024V00015V
28045002064802050330000.4V000.4V000.4V000.4V000.4V000.6V000.5V000.5V000.4V000.5V000.6V000.6V000.6V000.7V000.7V000.6V000.6V000.6R000.9V001.2V000.8V000.8V000.6V000.6V
2804500210490205033000006V00009V00008V00005V00003V00004V00014V00019V00013V00011V00009V00005V00002V00004V00009V00017V00008V00007V00005V00023V00020V00016V00015V00007V
2804500214060205033000103V00103V00103V00100V00097V00090V00073V00084V00101V00103V00101V00099V00097V00087V00084V00095V00095V00092R00049V00038V00059V00047V00067V00068V
2804500282890205033000264V00270V00269V00218V00118V00219V00084V00146V00253V00129V00231V00242V00264V00068V00102V00268V00268V00268V00192V00163V00163V00067V00201V00124V
28045002818902050330003.4V002.8V002.8V002.0V001.6V002.9V001.7V001.8V002.0V001.4V001.6V002.6V002.7V001.7V001.1V003.2V003.0V002.4V000.9V001.0V001.3V001.1V000.9V001.0V
28045002838902050330009.8V009.5V009.1V008.7V008.6V008.7V008.8V010.1V011.1V012.4V013.9V014.6V014.7V014.6V015.2V015.1V015.1V015.1V014.3V014.3V013.8V013.0V013.1V012.4V
2804500286890205033000065V00064V00064V00064V00061V00059V00059V00057V00056V00050V00046V00050V00051V00053V00051V00053V00052V00053V00058V00057V00058V00061V00062V00066V
2804500287890205033000900V00900V00900V00900V00900V00900V00900V00900V00901V00902V00901V00901V00901V00901V00901V00901V00901V00901V00901V00902V00902V00902V00902V00902V
2804500288890205033000004V00004V00004V00004V00004V00004V00051V00239V00436V00621V00755V00759V00462V00192V00192V00104V00089V00056V00004V00004V00004V00004V00004V00004V
28045002898902050330000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2808000301380205033000008V00009V00009V00010V00010V00009V00010V00010V00009V00010V00010V00009V00009V00010V00010V00010V00010V00010V00010V00011V00009V00009V00010V00010V
2808000307080205033000009V00009V00009V00009V00010V00012V00021V00019V00013V00013V00013V00011V00012V00012V00012V00012V00014V00012V00011V00011V00009V00009V00009V00010V
2808000308080205033000008V00007V00009V00009V00012V00017V00032V00025V00014V00012V00012V00009V00010V00011V00013V00014V00020V00017V00018V00018V00020V00027V00014V00014V
28080003064802050330000.4V000.4V000.4V000.4V000.4V000.4V000.5V000.5V000.4V000.5V000.5V000.5V000.5V000.5V000.5V000.5V000.5V000.5V000.5V000.5V000.5V000.5V000.5V000.5V
2808000310490205033000008V00009V00009V00009V00010V00012V00024V00034V00027V00037V00045V00033V00018V00011V00013V00019V00025V00019V00014V00010V00008V00006V00007V00010V
2808000314060205033000091V00083V00081V00077V00078V00065V00040V00049V00062V00068V00070V00072V00069V00074V00068V00065V00051V00056V00054V00056V00041V00029V00050V00045V
2808000382890205033000319V00332V00325V00305V00331V00321V00325V00305V00324V00336V00336V00336V00260V00331V00334V00334V00332V00334V00297V00242V00312V00294V00299V00294V
28080003818902050330003.0V002.6V002.6V002.3V005.7V003.7V003.6V002.7V006.5V007.7V007.3V007.3V005.0V005.1V005.6V004.4V005.3V004.9V003.1V002.0V001.9V001.6V001.9V001.9V
28080003838902050330012.9V011.9V011.5V011.1V011.7V011.7V012.0V013.2V014.6V015.1V016.4V017.6V018.0V018.5V018.8V018.8V018.8V018.5V017.8V017.0V017.1V016.4V015.8V015.4V
2808000386890205033000071V00075V00074V00075V00071V00072V00070V00068V00067V00066V00062V00059V00061V00061V00058V00060V00062V00065V00068V00070V00069V00073V00076V00078V
2808000387890205033000921V00921V00921V00921V00920V00921V00921V00922V00922V00922V00922V00921V00922V00922V00921V00921V00921V00921V00921V00922V00922V00922V00922V00922V
2808000388890205033000009V00008V00010V00010V00010V00009V00066V00186V00454V00597V00723V00844V00558V00428V00279V00155V00182V00066V00015V00010V00010V00009V00010V00010V
28080003898902050330000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2801300207080205033000001V00001V00001V00001V00004V00006V00017V00005V00004V00005V00003V00003V00002V00002V00003V00003V00002V00001V00002R00004V00003R00009V00009V00003V
2801300208080205033000013V00020V00016V00018V00041V00040V00052V00017V00012V00014V00009V00009V00006V00005V00009V00012V00012V00009V00017R00037V00044R00049V00041V00031V
2801300210490205033000021V00014V00013V00013V00018V00015V00022V00028V00021V00008V00016V00016V00014V00012V00011V00019V00028V00022V00016V00018V00015V00027V00029V00021V
2801300214060205033000083V00072V00072V00066V00035V00028V00029V00081V00088V00086V00099V00101V00105V00103V00097V00095V00091V00090V00076R00043V00026R00010V00009V00013V
2801300282890205033000225V00248V00203V00197V00159V00186V00236V00304V00287V00282V00303V00276V00282V00300V00309V00276V00304V00335V00288V00276V00176V00136V00114V00085V
28013002818902050330001.9V001.5V001.8V001.4V001.5V001.1V001.3V002.4V002.8V002.8V003.1V003.0V003.3V004.6V003.7V003.0V002.6V002.6V001.9V001.3V000.8V000.7V000.5V000.4V
28013002838902050330013.0V012.5V011.3V011.2V010.6V009.7V010.4V012.8V014.2V015.1V016.7V017.8V018.8V019.8V019.7V019.6V019.5V019.4V018.9V017.9V016.7V015.6V014.0V012.7V
2801300286890205033000059V00059V00063V00064V00065V00069V00065V00057V00054V00052V00048V00046V00044V00042V00044V00045V00046V00045V00048V00052V00056V00061V00067V00071V
2801300287890205033000951V00951V00951V00951V00951V00951V00951V00951V00952V00952V00952V00952V00951V00951V00950V00950V00950V00951V00951V00951V00951V00951V00952V00952V
2801300288890205033000004V00004V00004V00004V00004V00004V00060V00252V00443V00619V00680V00757V00593V00677V00344V00259V00162V00100V00012V00004V00004V00004V00004V00004V
28013002898902050330000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2812300114060205033000052V00064V00065V00049V00053V00017V00012V00040V00047V00065V00075V00080V00084V00082V00077V00070V00064V00060V00043V00015V00007V00008V00010V00006V
2802700114060205033000112V00109V00107V00107V00108V00109V00102V00104V00103V00102V00105V00097R00096V00096V00098V00097V00094V00095V00090V00089V00077V00086V00093V00088V
2806800114060205033000100V00097V00099V00100V00094V00083R00081V00078V00077V00085V*****N00089V00084V00091V00085V00080V00069V00075V00072V00059V00063V00058V00065V00068V
2813300114060205033000073V00071V00071V00088V00091V00085V00047V00040V00087V00080V*****N00091V00092V00093V00092V00091V00085V00080V00074V00058V00042V00038V00036V00025V
2806501201380205033100002V00002V00002R00002V00006V00011V00011V00014V00013V00007V00005V00003V00003V00002V00002V00002V00002V00002V00004V00006V00012V00014V00018V00018V
2806501207080205033100001V00002V00006R00019V00082V00165V00155V00194V00171V00071V00039V00031V00031V00019V00015V00016V00014V00010V00040V00099V00216V00282V00353V00299V
2806501208080205033100026V00023V00042R00054V00093V00122V00110V00125V00104V00076V00057V00054V00052V00039V00033V00043V00051V00058V00101V00134V00162V00163V00177V00156V
28065012064802050331000.3V000.4V000.4R000.5V001.0V001.8V001.6V001.2V000.9V000.8V000.6V000.7V000.8V000.6V000.5V000.6V000.6V000.6V001.0V001.1V001.8V002.0V002.5V002.0V
2806501210490205033100015V00014V00010V00009V00023V00053V00072V00066V00098V00109V00086V00065V00045V00039V00028V00029V00041V00046V00069V00086V00069V00083V00086V00122V
2806501214060205033100042V00042V00020R00011V00001V00001V00003V00002V00004V00016V00042V00050V00057V00068V00070V00069V00065V00057V00020V00002V00005V00002V00003V00001V
2806501282890205033100305V00236V00113V00084V00075V00091V00086V00069V00093V00086V00080V00136V00157V00175V00220V00214V00213V00204V00186V00270V00276V00323V00113V00100V
28065012818902050331001.9V002.1V001.7V001.9V002.3V001.7V002.4V002.8V003.2V003.0V003.1V002.5V002.7V002.6V002.6V002.9V002.5V002.1V001.6V001.2V001.0V001.2V001.2V002.1V
28065012838902050331016.1V015.5V015.1V014.7V013.4V013.0V012.9V013.6V015.2V017.5V020.1V022.3V023.5V024.3V025.3V025.3V024.7V023.8V022.9V021.7V021.0V019.9V018.8V017.3V
2806501286890205033100070V00073V00074V00074V00075V00075V00076V00074V00070V00063V00053V00047V00043V00038V00035V00034V00033V00035V00036V00039V00042V00045V00050V00059V
2806501287890205033100931V00931V00930V00930V00930V00930V00931V00931V00931V00931V00931V00930V00929V00929V00928V00927V00927V00927V00926V00926V00926V00926V00926V00926V
2806501288890205033100004V00004V00004V00004V00004V00004V00024V00103V00255V00370V00545V00579V00614V00551V00468V00374V00179V00052V00004V00004V00004V00004V00004V00004V
28065012898902050331000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
28065012305902050331000.1V000.1V000.1V000.1V000.7V001.9V002.5V001.4V000.9V000.7V000.4V000.4V000.2V000.2V000.2V000.2V000.2V000.6V000.7V000.7V001.6V001.8V003.5V003.0V
28065012205902050331000.6V001.0V000.7V000.9V005.1V008.8V016.6V011.2V015.1V005.7V004.2V002.4V001.2V001.1V000.6V001.2V000.9V001.8V002.8V004.0V009.7V013.2V022.2V023.6V
28065012315902050331000.8V000.8V001.7V003.0V005.4V038.0V009.8V039.0V007.8V005.3V002.3V001.4V001.0V001.1V000.8V000.9V001.2V001.2V001.6V002.2V005.2V008.3V016.4V032.4V
2807400701380205033100001V00001V00001V00001V00004V00013V00012V00014V00012V00008V00006V00004V00004V00003V00002V00002V00002V00002V00007V00011V00010V00011V00008V00006V
2807400707080205033100001V00001V00002V00023V00122V00322V00269V00301V00155V00046V00029V00010V00011V00008V00005V00007V00008V00016V00099V00216V00193V00250V00147V00117V
2807400708080205033100010V00003V00010V00040V00087V00123V00124V00132V00103V00060V00052V00030V00028V00021V00017V00027V00039V00056V00126V00149V00135V00150V00122V00107V
28074007064802050331000.5V000.5V000.4V000.6V001.3V002.7V002.3V002.0V001.4V000.7V000.7V000.6V000.6V000.5V000.5V000.6V000.6V000.7V001.3V002.1V001.9V001.8V001.3V001.1V
2807400710490205033100018V00009V00009V00009V00031V00058V00134V00110V00096V00077V00059V00047V00039V00034V00021V00029V00035V00026V00037V00086V00124V00105V00099V00061V
2807400714060205033100039V00046V00038V00016V00003V00003V00003V00003V00008V00021V00034V00057V00059V00065V00070V00066V00057V00045V00005V00003V00003V00003V00002V00002V
2807400782890205033100304V00283V00172V00226V00064V00058V00062V00056V00068V00102V00080V00113V00163V00214V00219V00073V00204V00188V00254V00067V00297V00126V00256V00139V
28074007818902050331001.6V002.1V001.5V001.3V000.8V000.7V001.1V001.2V002.2V002.3V002.4V002.0V002.1V002.3V002.0V001.6V001.8V001.1V000.7V000.7V000.6V000.6V000.7V000.9V
28074007838902050331012.9V012.6V011.8V011.3V010.5V010.0V010.1V011.0V012.7V015.1V017.4V019.0V020.3V021.3V021.9V022.4V022.1V021.3V019.8V018.0V016.8V015.7V014.4V013.3V
2807400786890205033100069V00071V00073V00073V00076V00076V00074V00072V00065V00057V00048V00042V00039V00034V00031V00030V00030V00030V00034V00040V00044V00048V00052V00059V
2807400787890205033100929V00929V00929V00928V00928V00929V00929V00929V00929V00929V00929V00928V00927V00927V00926V00925V00925V00925V00924V00924V00924V00924V00925V00924V
2807400788890205033100004V00004V00004V00004V00004V00004V00023V00125V00301V00441V00619V00654V00690V00620V00530V00408V00193V00056V00004V00004V00004V00004V00004V00004V
28074007898902050331000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2800500201380205033100005V00006V00009V00014V00022V00016V00021V00027V00029V00028V00018V00014V00009V00006V00006V00006V00007V00009V00009V00012V00011V00017V00020V00016V
2800500207080205033100029V00045V00051V00055V00085V00074V00086V00082V00064V00058V00022V00015V00012V00007V00009V00013V00009V00011V00024V00058V00031V00133V00076V00068V
2800500208080205033100052V00051V00052V00054V00054V00055V00056V00055V00049V00053V00042V00029V00020V00013V00019V00025V00020V00031V00079V00095V00077V00096V00076V00069V
28005002064802050331000.7V000.6V000.5V000.6V001.1V001.0V001.1V000.9V000.6V000.8V000.6V000.5V000.6V000.4V000.3V000.4V000.4V000.5V000.9V001.5V001.5V001.8V001.1V001.2V
2800500210490205033100036V00036V00028V00031V00039V00063V00051V00066V00071V00058V00061V00058V00029V00030V00022V00055V00163V00029V00021V00044V00053V00036V00059V00056V
